segment_index,start_time,end_time,label,total_events,max_magnitude,rms,data_points,sampling_rate,data_completeness,selection_type
1,2011-01-08 00:05:00,2011-01-08 00:10:00,Earthquake,1,1.17,8.54949874724867,6001,20.0,100.0%,earthquake
2,2011-01-08 00:10:00,2011-01-08 00:15:00,Earthquake,3,4.1,2747.660520833765,6001,20.0,100.0%,earthquake
3,2011-01-08 00:15:00,2011-01-08 00:20:00,Earthquake,1,0.84,2.9572796703339024,6001,20.0,100.0%,earthquake
4,2011-01-08 00:20:00,2011-01-08 00:25:00,Earthquake,1,2.04,65.28638014892798,6001,20.0,100.0%,earthquake
5,2011-01-08 00:25:00,2011-01-08 00:30:00,Earthquake,2,1.12,9.075164668665732,6001,20.0,100.0%,earthquake
16,2011-01-08 01:20:00,2011-01-08 01:25:00,Earthquake,1,2.09,49.28637760965947,6001,20.0,100.0%,earthquake
19,2011-01-08 01:35:00,2011-01-08 01:40:00,Earthquake,1,0.63,0.8442920831514917,6001,20.0,100.0%,earthquake
20,2011-01-08 01:40:00,2011-01-08 01:45:00,Earthquake,1,1.25,0.8368995677632277,6001,20.0,100.0%,earthquake
27,2011-01-08 02:15:00,2011-01-08 02:20:00,Earthquake,1,1.22,39.154666883490016,6001,20.0,100.0%,earthquake
28,2011-01-08 02:20:00,2011-01-08 02:25:00,Earthquake,1,0.88,2.2409225523913308,6001,20.0,100.0%,earthquake
38,2011-01-08 03:10:00,2011-01-08 03:15:00,Earthquake,1,1.31,2.2254956509247745,6001,20.0,100.0%,earthquake
41,2011-01-08 03:25:00,2011-01-08 03:30:00,Earthquake,1,1.37,0.888722412372183,6001,20.0,100.0%,earthquake
42,2011-01-08 03:30:00,2011-01-08 03:35:00,Earthquake,1,2.0,0.9093112725196815,6001,20.0,100.0%,earthquake
47,2011-01-08 03:55:00,2011-01-08 04:00:00,Earthquake,1,1.23,0.8827020048547894,6001,20.0,100.0%,earthquake
62,2011-01-08 05:10:00,2011-01-08 05:15:00,Earthquake,1,0.73,0.8915394646765433,6001,20.0,100.0%,earthquake
69,2011-01-08 05:45:00,2011-01-08 05:50:00,Earthquake,1,1.78,0.8759521117322298,6001,20.0,100.0%,earthquake
72,2011-01-08 06:00:00,2011-01-08 06:05:00,Earthquake,1,0.89,0.8798156707371434,6001,20.0,100.0%,earthquake
76,2011-01-08 06:20:00,2011-01-08 06:25:00,Earthquake,1,1.46,20.20325577006569,6001,20.0,100.0%,earthquake
82,2011-01-08 06:50:00,2011-01-08 06:55:00,Earthquake,1,1.07,0.87770419766807,6001,20.0,100.0%,earthquake
83,2011-01-08 06:55:00,2011-01-08 07:00:00,Earthquake,1,2.41,1.8330429378089472,6001,20.0,100.0%,earthquake
87,2011-01-08 07:15:00,2011-01-08 07:20:00,Earthquake,2,0.88,0.8796862831194594,6001,20.0,100.0%,earthquake
104,2011-01-08 08:40:00,2011-01-08 08:45:00,Earthquake,1,1.18,0.8458358156822092,6001,20.0,100.0%,earthquake
108,2011-01-08 09:00:00,2011-01-08 09:05:00,Earthquake,1,0.87,0.8593369817365784,6001,20.0,100.0%,earthquake
120,2011-01-08 10:00:00,2011-01-08 10:05:00,Earthquake,1,1.11,0.8488766755785645,6001,20.0,100.0%,earthquake
126,2011-01-08 10:30:00,2011-01-08 10:35:00,Earthquake,1,2.56,0.8452760212316013,6001,20.0,100.0%,earthquake
136,2011-01-08 11:20:00,2011-01-08 11:25:00,Earthquake,1,1.52,0.7824943897071387,6001,20.0,100.0%,earthquake
137,2011-01-08 11:25:00,2011-01-08 11:30:00,Earthquake,1,1.71,0.8080909662758272,6001,20.0,100.0%,earthquake
138,2011-01-08 11:30:00,2011-01-08 11:35:00,Earthquake,1,1.77,0.7936656387404906,6001,20.0,100.0%,earthquake
143,2011-01-08 11:55:00,2011-01-08 12:00:00,Earthquake,1,1.15,0.7820492820445785,6001,20.0,100.0%,earthquake
144,2011-01-08 12:00:00,2011-01-08 12:05:00,Earthquake,1,1.18,0.7865293307066575,6001,20.0,100.0%,earthquake
148,2011-01-08 12:20:00,2011-01-08 12:25:00,Earthquake,1,0.89,0.7817778196901394,6001,20.0,100.0%,earthquake
153,2011-01-08 12:45:00,2011-01-08 12:50:00,Earthquake,1,0.88,0.7737847047196549,6001,20.0,100.0%,earthquake
154,2011-01-08 12:50:00,2011-01-08 12:55:00,Earthquake,1,1.21,0.7678837107454319,6001,20.0,100.0%,earthquake
163,2011-01-08 13:35:00,2011-01-08 13:40:00,Earthquake,2,1.25,0.8080628015768041,6001,20.0,100.0%,earthquake
172,2011-01-08 14:20:00,2011-01-08 14:25:00,Earthquake,1,0.97,4.8464316826972205,6001,20.0,100.0%,earthquake
183,2011-01-08 15:15:00,2011-01-08 15:20:00,Earthquake,1,0.7,0.8852651117400856,6001,20.0,100.0%,earthquake
191,2011-01-08 15:55:00,2011-01-08 16:00:00,Earthquake,1,2.04,5.727233814984239,6001,20.0,100.0%,earthquake
194,2011-01-08 16:10:00,2011-01-08 16:15:00,Earthquake,1,1.83,1.4883432499049334,6001,20.0,100.0%,earthquake
207,2011-01-08 17:15:00,2011-01-08 17:20:00,Earthquake,1,2.23,0.8449346318958483,6001,20.0,100.0%,earthquake
213,2011-01-08 17:45:00,2011-01-08 17:50:00,Earthquake,2,1.77,1.1218087439221596,6001,20.0,100.0%,earthquake
225,2011-01-08 18:45:00,2011-01-08 18:50:00,Earthquake,1,1.28,0.7974404799250396,6001,20.0,100.0%,earthquake
229,2011-01-08 19:05:00,2011-01-08 19:10:00,Earthquake,1,0.88,1.0821812479845896,6001,20.0,100.0%,earthquake
230,2011-01-08 19:10:00,2011-01-08 19:15:00,Earthquake,1,0.96,1.01768630512482,6001,20.0,100.0%,earthquake
238,2011-01-08 19:50:00,2011-01-08 19:55:00,Earthquake,1,0.75,0.7988046231219217,6001,20.0,100.0%,earthquake
241,2011-01-08 20:05:00,2011-01-08 20:10:00,Earthquake,1,0.73,0.8247214199599604,6001,20.0,100.0%,earthquake
245,2011-01-08 20:25:00,2011-01-08 20:30:00,Earthquake,1,2.38,0.8674145646753755,6001,20.0,100.0%,earthquake
246,2011-01-08 20:30:00,2011-01-08 20:35:00,Earthquake,1,0.97,2.8509423548873727,6001,20.0,100.0%,earthquake
247,2011-01-08 20:35:00,2011-01-08 20:40:00,Earthquake,1,1.03,0.8466778166005386,6001,20.0,100.0%,earthquake
255,2011-01-08 21:15:00,2011-01-08 21:20:00,Earthquake,1,0.76,0.917208280227123,6001,20.0,100.0%,earthquake
258,2011-01-08 21:30:00,2011-01-08 21:35:00,Earthquake,1,2.35,2.5290835133828695,6001,20.0,100.0%,earthquake
262,2011-01-08 21:50:00,2011-01-08 21:55:00,Earthquake,2,1.88,0.965594788471136,6001,20.0,100.0%,earthquake
270,2011-01-08 22:30:00,2011-01-08 22:35:00,Earthquake,3,1.78,2.1204134263923353,6001,20.0,100.0%,earthquake
135,2011-01-08 11:15:00,2011-01-08 11:20:00,Other,0,0.0,0.7762528645685615,6001,20.0,100.0%,other
140,2011-01-08 11:40:00,2011-01-08 11:45:00,Other,0,0.0,0.7719187350382929,6001,20.0,100.0%,other
145,2011-01-08 12:05:00,2011-01-08 12:10:00,Other,0,0.0,0.7690259991649792,6001,20.0,100.0%,other
146,2011-01-08 12:10:00,2011-01-08 12:15:00,Other,0,0.0,0.7722535708140488,6001,20.0,100.0%,other
147,2011-01-08 12:15:00,2011-01-08 12:20:00,Other,0,0.0,0.7704056165529464,6001,20.0,100.0%,other
149,2011-01-08 12:25:00,2011-01-08 12:30:00,Other,0,0.0,0.7801610575978729,6001,20.0,100.0%,other
150,2011-01-08 12:30:00,2011-01-08 12:35:00,Other,0,0.0,0.7768160385520778,6001,20.0,100.0%,other
151,2011-01-08 12:35:00,2011-01-08 12:40:00,Other,0,0.0,0.7701727691662266,6001,20.0,100.0%,other
152,2011-01-08 12:40:00,2011-01-08 12:45:00,Other,0,0.0,0.7691722707344363,6001,20.0,100.0%,other
155,2011-01-08 12:55:00,2011-01-08 13:00:00,Other,0,0.0,0.7698062222894151,6001,20.0,100.0%,other
162,2011-01-08 13:30:00,2011-01-08 13:35:00,Other,0,0.0,0.7788556557451763,6001,20.0,100.0%,other
167,2011-01-08 13:55:00,2011-01-08 14:00:00,Other,0,0.0,0.7703813757701293,6001,20.0,100.0%,other
556,2011-01-09 22:20:00,2011-01-09 22:25:00,Other,0,0.0,0.774916714372254,6001,20.0,100.0%,other
559,2011-01-09 22:35:00,2011-01-09 22:40:00,Other,0,0.0,0.7624562732247433,6001,20.0,100.0%,other
602,2011-01-10 02:10:00,2011-01-10 02:15:00,Other,0,0.0,0.768238209458209,6001,20.0,100.0%,other
608,2011-01-10 02:40:00,2011-01-10 02:45:00,Other,0,0.0,0.7764393270690024,6001,20.0,100.0%,other
609,2011-01-10 02:45:00,2011-01-10 02:50:00,Other,0,0.0,0.7724022259701645,6001,20.0,100.0%,other
611,2011-01-10 02:55:00,2011-01-10 03:00:00,Other,0,0.0,0.7626388145872466,6001,20.0,100.0%,other
612,2011-01-10 03:00:00,2011-01-10 03:05:00,Other,0,0.0,0.7787236186883284,6001,20.0,100.0%,other
614,2011-01-10 03:10:00,2011-01-10 03:15:00,Other,0,0.0,0.7763295944359,6001,20.0,100.0%,other
620,2011-01-10 03:40:00,2011-01-10 03:45:00,Other,0,0.0,0.7707277453240513,6001,20.0,100.0%,other
621,2011-01-10 03:45:00,2011-01-10 03:50:00,Other,0,0.0,0.7770716222207409,6001,20.0,100.0%,other
896,2011-01-11 02:40:00,2011-01-11 02:45:00,Other,0,0.0,0.779623353927649,6001,20.0,100.0%,other
905,2011-01-11 03:25:00,2011-01-11 03:30:00,Other,0,0.0,0.7761903624404332,6001,20.0,100.0%,other
909,2011-01-11 03:45:00,2011-01-11 03:50:00,Other,0,0.0,0.7712762793362666,6001,20.0,100.0%,other
