DateTime,Latitude,Longitude,Depth,Magnitude,MagType,NbStations,Gap,Distance,RMS,Source,EventID
2011/01/08 00:09:13.95,37.28567,-121.65950,5.449,1.17,Md,24,81,3,0.05,NCSN,71506870
2011/01/08 00:10:16.74,37.28717,-121.65816,9.593,4.10,Mw,223,55,6,0.18,NCSN,71506865
2011/01/08 00:13:12.45,37.28417,-121.66033,6.247,2.53,Md,102,62,3,0.07,NCSN,71506875
2011/01/08 00:14:25.88,38.78633,-122.73683,0.776,1.09,Md,55,38,0,0.09,NCSN,71506880
2011/01/08 00:16:33.82,37.28483,-121.65833,6.606,0.84,Md,14,91,3,0.04,NCSN,71506885
2011/01/08 00:21:04.18,37.28867,-121.66450,6.027,2.04,Md,89,61,3,0.06,NCSN,71506890
2011/01/08 00:27:06.34,37.28483,-121.65800,6.349,0.89,Md,12,179,3,0.02,NCSN,71506895
2011/01/08 00:29:46.78,37.29117,-121.66617,5.729,1.12,Md,31,77,4,0.03,NCSN,71506900
2011/01/08 01:14:07.33,38.80467,-122.81583,4.520,0.27,Md,14,115,1,0.05,NCSN,71506905
2011/01/08 01:20:59.12,37.28383,-121.66183,6.043,2.09,Md,79,62,3,0.05,NCSN,71506910
2011/01/08 01:37:14.85,36.45933,-121.04134,4.929,0.63,Md,12,115,4,0.05,NCSN,71506915
2011/01/08 01:40:19.47,36.03233,-120.61517,-0.998,1.25,Md,47,88,4,0.14,NCSN,71506920
2011/01/08 02:16:52.12,37.24700,-121.63017,4.833,1.22,Md,33,80,4,0.06,NCSN,71506925
2011/01/08 02:21:10.77,38.80800,-122.82716,2.733,0.88,Md,6,161,0,0.05,NCSN,71506930
2011/01/08 02:47:54.54,38.74866,-122.69100,1.322,0.36,Md,21,205,0,0.06,NCSN,71506940
2011/01/08 03:14:00.45,37.10017,-121.48967,2.915,1.31,Md,37,96,3,0.06,NCSN,71506945
2011/01/08 03:25:06.18,38.81017,-122.81950,2.330,1.37,Md,60,46,1,0.07,NCSN,71506950
